HITid,AssignmentId,WorkerId,Time,Minutes,Input Time (s),Query Time (s),Query,Description,Category,doc1id,doc1selected,doc2id,doc2selected,doc3id,doc3selected,doc4id,doc4selected,doc5id,doc5selected,doc6id,doc6selected,doc7id,doc7selected,doc8id,doc8selected,doc9id,doc9selected,doc10id,doc10selected,doc11id,doc11selected,doc12id,doc12selected,Num Relevant Selected,Num NR Selected
386T3MLZMRBYLPAJAF1EWLDHACB80N,3C8HJ7UOPCADVJG7YCTRWMCEB6UZM7,A35O5Z3ER74FBC,60.0,1.0,30.168,0.0," benefits of online school"," what are some of the benefits of online school versus traditional school"," Education"," clueweb09-en0011-18-07065",false," clueweb09-en0005-77-25851",false," clueweb09-en0011-99-07447",false," clueweb09-en0005-57-19435",false," clueweb09-en0008-66-18623",false," clueweb09-en0000-93-08245",false," clueweb09-en0003-58-03434",false," clueweb09-en0010-45-31176",false," clueweb09-en0001-42-11665",true," clueweb09-en0007-79-14073",false,null,false,null,false,1,0
34D9ZRXCZVAC5MNAGF4C2IPVVSUASG,3MD9PLUKKNUJD117AD8R911EGW4ZN7,A35O5Z3ER74FBC,58.0,0.9666666666666667,22.514,0.0," greed salad recipe"," I am looking for good recipes for greek salad"," Food &amp; Drink"," clueweb09-en0008-86-08247",false," clueweb09-en0006-21-31903",false," clueweb09-en0002-17-29871",false," clueweb09-en0007-33-33098",false," clueweb09-en0010-49-39710",false," clueweb09-en0002-17-29723",false," clueweb09-en0011-62-03244",false," clueweb09-en0005-69-04019",false," clueweb09-en0002-35-13413",false," clueweb09-en0003-82-28402",false,null,false,null,false,0,0
38Z7YZ2SC7IFYORV0Z7KOGYDQCEIQ3,3AMYWKA6YG2Z7CH89NBTRS8O12D6O3,A35O5Z3ER74FBC,58.0,0.9666666666666667,30.13,0.0," minimalist bedroom"," How to decorate a minimalist bedroom"," Home"," clueweb09-en0005-40-18994",false," clueweb09-en0005-40-19360",false," clueweb09-en0006-04-22443",false," clueweb09-en0006-50-30270",false," clueweb09-en0007-64-22949",false," clueweb09-en0005-63-25712",false," clueweb09-en0000-51-10346",false," clueweb09-en0009-71-24137",true," clueweb09-en0009-75-01351",false," clueweb09-en0004-81-37066",false,null,false,null,false,1,0
3TRB893CTNQRWFGLECYB3D4269UG7B,3VNXK88KKHYHFFS3860J6UTYNWHV94,A35O5Z3ER74FBC,60.0,1.0,36.299,0.0," comfortable work clothing"," What are some styles that are good for work and also comfortable?"," Style"," clueweb09-en0011-80-21338",true," clueweb09-en0005-68-41168",false," clueweb09-en0006-36-05546",false," clueweb09-en0002-81-10621",false," clueweb09-en0006-36-05707",true," clueweb09-en0003-05-26433",false," clueweb09-en0008-40-11053",false," clueweb09-en0005-68-41542",false," clueweb09-en0002-01-13394",false," clueweb09-en0011-25-25382",true,null,false,null,false,3,0
36MUZ9VAFAI9TAL4ZUB932TMF4IDEK,3WR9XG3T68RE7JLV9D1CJ82FFMX47Q,A35O5Z3ER74FBC,77.0,1.2833333333333334,43.46,0.0," child anxiety"," How can I help my child with anxiety about making mistakes?"," Parenting"," clueweb09-en0009-41-30612",true," clueweb09-en0002-24-16311",false," clueweb09-en0010-22-13169",true," clueweb09-en0010-79-05050",true," clueweb09-en0006-88-43207",true," clueweb09-en0008-19-29430",false," clueweb09-en0005-57-05812",true," clueweb09-en0008-84-18737",false," clueweb09-en0007-68-32430",true," clueweb09-en0005-37-34888",true,null,false,null,false,7,0
37SDSEDIODIYSEV16Y5EAQWRF4H81Q,39GXDJN2OYUH1A9T3EU56YYN3QZV8F,A35O5Z3ER74FBC,93.0,1.55,28.98,0.0," family outdoor activities"," what are good outdoor activities to do as a family"," Recreation"," clueweb09-en0006-87-32949",false," clueweb09-en0000-21-17957",true," clueweb09-en0000-64-27834",true," clueweb09-en0001-98-25496",true," clueweb09-en0001-92-18580",false," clueweb09-en0002-71-01518",true," clueweb09-en0002-18-16426",true," clueweb09-en0002-06-06189",false," clueweb09-en0011-72-20884",false," clueweb09-en0011-72-20888",false,null,false,null,false,5,0
3TC2K6WKAKI5HZDXP25SF96W7AV827,3RXPCZQMQURG8DZDFYM4RN852561GD,A35O5Z3ER74FBC,74.0,1.2333333333333334,39.286,0.0," least crowded national parks"," What national parks are the least crowded"," Travel"," clueweb09-en0009-11-32459",false," clueweb09-en0003-33-29992",false," clueweb09-en0009-11-32397",false," clueweb09-en0004-48-14185",true," clueweb09-en0001-98-01126",false," clueweb09-en0000-07-13504",false," clueweb09-en0002-23-08349",false," clueweb09-en0010-31-25064",false," clueweb09-en0007-51-01635",false," clueweb09-en0002-81-08406",false,null,false,null,false,1,0
3VDI8GSXBJ9VWTL4OHQHHD0XHT0G8Y,3VELCLL3GPZAUD3I4EGM928T1Q61FE,A35O5Z3ER74FBC,82.0,1.3666666666666667,29.811,0.0," elementary kids crafts"," What are some crafts I can do with my elementary school aged children?"," Crafts &amp; Hobbies"," clueweb09-en0002-98-31301",false," clueweb09-en0002-46-22237",true," clueweb09-en0002-91-07326",false," clueweb09-en0002-13-15080",false," clueweb09-en0002-67-03403",false," clueweb09-en0001-41-14238",true," clueweb09-en0000-18-13521",false," clueweb09-en0005-68-22499",true," clueweb09-en0000-82-20606",false," clueweb09-en0003-57-10828",false,null,false,null,false,3,0
3K1H3NEY8PF7DOHV5P1X35EYSKXDG1,32N49TQG3LYVKY280CEJ2P4ITEZVAJ,A35O5Z3ER74FBC,97.0,1.6166666666666667,48.946,0.0," artists of the renaissance"," Who are the biggest artists of the renaissance"," Arts"," clueweb09-enwp02-14-20650",false," clueweb09-en0003-93-06319",true," clueweb09-en0007-46-10609",true," clueweb09-enwp01-71-16225",true," clueweb09-en0006-37-25254",false," clueweb09-en0005-40-33884",true," clueweb09-en0008-50-16833",false," clueweb09-en0001-44-04908",false," clueweb09-en0003-94-03097",true," clueweb09-en0009-29-36428",true,null,false,null,false,6,0
308KJXFUKVMDKM0P5F92CNLHXB8AT5,3TYCR1GOTHZTP1YMY0SCW9XPB14ZL5,A35O5Z3ER74FBC,81.0,1.35,27.394,0.0," rock climbing"," what are some things I need to know about rock climbing"," Recreation"," clueweb09-en0007-45-07956",false," clueweb09-en0011-87-10308",false," clueweb09-en0011-31-02030",true," clueweb09-en0002-17-22536",true," clueweb09-en0011-31-02035",false," clueweb09-en0003-81-03665",false," clueweb09-en0003-81-03670",false," clueweb09-en0000-32-31086",true," clueweb09-en0006-58-24624",true," clueweb09-en0005-50-11678",true,null,false,null,false,5,0
