Num Queries,# Workers,Total Time (s),Avg Time (m)
1,20,3750,3.125
2,10,2422.00,4.036666667
3,10,1063.67,1.772777778
4,8,1341.25,2.794270833
5,2,219.00,1.825
6,2,337.33,2.811111111
7,1,88.57,1.476190476
8,4,1012.88,4.2203125
9,3,510.56,2.836419753
10,6,1045.80,2.905
13,3,182.23,1.012393162
15,1,643.27,10.72111111
16,1,419.13,6.9855
17,3,576.47,3.202614379
18,1,406.72,6.778666667
19,1,271.63,4.527166667
20,4,400.25,1.667708333
21,1,548.52,9.142
23,1,603.09,10.0515
25,1,311.72,5.195333333
27,1,82.07407407,1.367901235
28,1,388.9642857,6.482738095
29,1,600.4827586,10.00804598
30,2,681.10,5.675833333
31,1,111.1290323,1.852150538
32,1,190.3125,3.171875
34,1,122.0588235,2.034313725
35,1,435.8857143,7.264761905
41,1,211.9756098,3.532926829
45,1,371.2222222,6.187037037
48,1,66.72916667,1.112152778
50,2,619.48,5.162333333
51,2,955.41,7.961764706
54,1,431.7037037,7.195061728
55,1,83.09090909,1.384848485
57,1,110.8596491,1.847660819
58,1,440.7241379,7.345402299
64,2,1291.64,10.76367188
74,1,501.2567568,8.354279279
78,1,255.6538462,4.260897436
79,1,232.2531646,3.870886076
80,2,799.65,6.66375
89,1,135.9101124,2.265168539
110,1,272.7636364,4.546060606
138,1,371.8695652,6.197826087
139,1,258.6834532,4.311390887
152,1,712.0328947,11.86721491
